scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate,,,,,,,,,,,,,,,
Colaptes melanochloros,Aves,Piciformes,Picidae,Colaptes,melanochloros,,carpintero nuca roja,LC,,06/07/2019,,,,,,,,,,,,,,,
Colaptes melanolaimus,Aves,Piciformes,Picidae,Colaptes,melanolaimus,,carpintero real común,LC,,06/07/2019,,,,,,,,,,,,,,,
Columbina picui,Aves,Columbiformes,Columbidae,Columbina,picui,,torcacita común,LC,,06/07/2019,,,,,,,,,,,,,,,
Columbina talpacoti,Aves,Columbiformes,Columbidae,Columbina,talpacoti,,torcacita colorada,LC,,06/07/2019,,,,,,,,,,,,,,,
Conopophaga lineata,Aves,Passeriformes,Conopophagidae,Conopophaga,lineata,,chupadientes,LC,,06/07/2019,,,,,,,,,,,,,,,
Coragyps atratus,Aves,Accipitriformes,Cathartidae,Coragyps,atratus,,cuervo cabeza negra,LC,,06/07/2019,,,,,,,,,,,,,,,
Coryphistera alaudina,Aves,Passeriformes,Furnariidae,Coryphistera,alaudina,,crestudo,LC,,06/07/2019,,,,,,,,,,,,,,,
Coryphospingus cucullatus,Aves,Passeriformes,Thraupidae,Coryphospingus,cucullatus,,brasita de fuego,LC,,06/07/2019,,,,,,,,,,,,,,,
Coscoroba coscoroba,Aves,Anseriformes,Anatidae,Coscoroba,coscoroba,,coscoroba,LC,,06/07/2019,,,,,,,,,,,,,,,
Coturnicops notatus,Aves,Gruiformes,Rallidae,Coturnicops,notatus,,burrito enano,LC,,06/07/2019,,,,,,,,,,,,,,,
Cranioleuca obsoleta,Aves,Passeriformes,Furnariidae,Cranioleuca,obsoleta,,curutié oliváceo,LC,,06/07/2019,,,,,,,,,,,,,,,
Cranioleuca pyrrhophia,Aves,Passeriformes,Furnariidae,Cranioleuca,pyrrhophia,,trepadorcito,LC,,06/07/2019,,,,,,,,,,,,,,,
Cranioleuca sulphurifera,Aves,Passeriformes,Furnariidae,Cranioleuca,sulphurifera,,curutié ocráceo,LC,,06/07/2019,,,,,,,,,,,,,,,
Crotophaga ani,Aves,Cuculiformes,Cuculidae,Crotophaga,ani,,pirincho negro chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Crotophaga major,Aves,Cuculiformes,Cuculidae,Crotophaga,major,,pirincho negro grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Crypturellus obsoletus,Aves,Tinamiformes,Tinamidae,Crypturellus,obsoletus,,perdiz de monte,LC,,06/07/2019,,,,,,,,,,,,,,,
Cyanocompsa brissonii,Aves,Passeriformes,Cardinalidae,Cyanocompsa,brissonii,,reina mora,LC,,06/07/2019,,,,,,,,,,,,,,,
Cyanocorax caeruleus,Aves,Passeriformes,Corvidae,Cyanocorax,caeruleus,,urraca azul,NT,,06/07/2019,,,,,,,,,,,,,,,
Cyanocorax chrysops,Aves,Passeriformes,Corvidae,Cyanocorax,chrysops,,urraca común,LC,,06/07/2019,,,,,,,,,,,,,,,
Cyanocorax cyanomelas,Aves,Passeriformes,Corvidae,Cyanocorax,cyanomelas,,urraca morada,LC,,06/07/2019,,,,,,,,,,,,,,,
Cyanoliseus patagonus,Aves,Psittaciformes,Psittacidae,Cyanoliseus,patagonus,,loro barranquero,LC,,06/07/2019,,,,,,,,,,,,,,,
Cyanoloxia glaucocaerulea,Aves,Passeriformes,Cardinalidae,Cyanoloxia,glaucocaerulea,,azulito,LC,,06/07/2019,,,,,,,,,,,,,,,
Cyclarhis gujanensis,Aves,Passeriformes,Vireonidae,Cyclarhis,gujanensis,,juan chiviro,LC,,06/07/2019,,,,,,,,,,,,,,,
Cygnus melancoryphus,Aves,Anseriformes,Anatidae,Cygnus,melancoryphus,,cisne cuello negro,LC,,06/07/2019,,,,,,,,,,,,,,,
Daption capense,Aves,Procellariiformes,Procellariidae,Daption,capense,,petrel damero,LC,,06/07/2019,,,,,,,,,,,,,,,
Dendrocolaptes platyrostris,Aves,Passeriformes,Furnariidae,Dendrocolaptes,platyrostris,,trepador oscuro,LC,,06/07/2019,,,,,,,,,,,,,,,
Dendrocygna autumnalis,Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Dendrocygna bicolor,Aves,Anseriformes,Anatidae,Dendrocygna,bicolor,,pato canela,LC,,06/07/2019,,,,,,,,,,,,,,,
